dataset,original_name,refmet_name,main_class,refmet_id,status
positive,(2S)-5-[Carbamimidoyl(methyl)amino]-2-(methylamino)pentanoic acid,-,-,-,MATCH
positive,"(2R,3R,4S,5R)-2-Amino-3,4,5,6-tetrahydroxyhexanal",-,-,-,MATCH
positive,Methyl L-argininate,-,-,-,MATCH
positive,Ethyl lysine,-,-,-,MATCH
positive,isoleucine glutamate,-,-,-,MATCH
positive,N-(3-Aminopropyl)-N-methylcarbamic acid tert-butyl ester,-,-,-,MATCH
positive,Benzoyl glucuronide (Benzoic acid),-,-,-,MATCH
positive,epsilon-(gamma-Glutamyl)lysine,Epsilon-(gamma-Glutamyl)-lysine,Amino acids and peptides,RM0136244,MATCH
positive,2-Hydrazinopyridine,-,-,-,MATCH
positive,D-Histidine,D-Histidine,Amino acids and peptides,RM0027537,MATCH
positive,Menadione bisulfite,-,-,-,MATCH
positive,1-Methylpiperazine,1-Methylpiperazine,Piperazines,RM0171401,MATCH
positive,Meldonium,-,-,-,MATCH
positive,1-Piperideine,1-Piperideine,Hydropyridines,RM0136922,MATCH
positive,"(1r,2s)-2-Aminocyclopentanecarboxylic acid",-,-,-,MATCH
positive,Triethyl orthoformate,-,-,-,MATCH
positive,Visnagin,Visnagin,Aromatic polyketides,RM0052858,MATCH
positive,piperidine-1-carboxamide,-,-,-,MATCH
positive,"Bis((hexahydro-4-methyl-1H-1,4-diazepin-1-yl)thiocarbonyl)disulfide",-,-,-,MATCH
positive,Z-PP-CHO,-,-,-,MATCH
positive,N(6)-Methyllysine,N(6)-Methyllysine,Amino acids and peptides,RM0020527,MATCH
positive,6-[Ethyl-(3-isobutoxy-4-isopropylphenyl)amino]nicotinic acid,-,-,-,MATCH
positive,6-{3-[(Pyridin-2-yl)disulfanyl]propanamido}hexanoic acid,-,-,-,MATCH
positive,Methoxsalen,Methoxsalen,Coumarins,RM0186773,MATCH
positive,4-(Dipropylsulfamoyl)-2-nitrobenzoic acid,-,-,-,MATCH
positive,D-Ornithine,D-Ornithine,Amino acids and peptides,RM0136216,MATCH
positive,N-Mononitrosopiperazine,-,-,-,MATCH
positive,Trimethylolpropane,-,-,-,MATCH
positive,"Pyrrole, 2-pentyl",-,-,-,MATCH
