Animal,SampleNo,SampleCode,Sex,Treatment,Diet,ExpID,Batch,T_D_S,T_D,T_S
157,1,109722,female,EtOH,CDHFD13,FK49,1,EtOH_CDHFD13_female,EtOH_CDHFD13,EtOH_female
158,2,109723,male,EtOH,CDHFD13,FK49,1,EtOH_CDHFD13_male,EtOH_CDHFD13,EtOH_male
159,3,109724,male,EtOH,CDHFD13,FK49,1,EtOH_CDHFD13_male,EtOH_CDHFD13,EtOH_male
160,4,109725,female,EtOH,CDHFD13,FK49,1,EtOH_CDHFD13_female,EtOH_CDHFD13,EtOH_female
161,5,109726,female,EtOH,CDHFD13,FK49,1,EtOH_CDHFD13_female,EtOH_CDHFD13,EtOH_female
162,6,109727,female,TAM,CDHFD13,FK49,1,TAM_CDHFD13_female,TAM_CDHFD13,EtOH_female
163,7,109728,male,TAM,CDHFD13,FK49,1,TAM_CDHFD13_male,TAM_CDHFD13,TAM_male
164,8,109729,male,TAM,CDHFD13,FK49,1,TAM_CDHFD13_male,TAM_CDHFD13,TAM_male
165,9,109730,male,TAM,CDHFD13,FK49,1,TAM_CDHFD13_male,TAM_CDHFD13,TAM_male
166,10,109731,female,TAM,CDHFD13,FK49,1,TAM_CDHFD13_female,TAM_CDHFD13,TAM_female
186,11,109732,female,TAM,CDHFD13,FK49,2,TAM_CDHFD13_female,TAM_CDHFD13,TAM_female
187,12,109733,female,TAM,CDHFD13,FK49,2,TAM_CDHFD13_female,TAM_CDHFD13,TAM_female
188,13,109734,male,EtOH,CDHFD13,FK49,2,EtOH_CDHFD13_male,EtOH_CDHFD13,EtOH_male
189,14,109735,male,EtOH,CDHFD13,FK49,2,EtOH_CDHFD13_male,EtOH_CDHFD13,EtOH_male
190,15,109736,male,EtOH,CDHFD13,FK49,2,EtOH_CDHFD13_male,EtOH_CDHFD13,EtOH_male
191,16,109737,male,EtOH,CDHFD13,FK49,2,EtOH_CDHFD13_male,EtOH_CDHFD13,EtOH_male
192,17,109738,male,EtOH,CDHFD13,FK49,2,EtOH_CDHFD13_male,EtOH_CDHFD13,EtOH_male
193,18,109739,female,TAM,CDHFD13,FK49,2,TAM_CDHFD13_female,TAM_CDHFD13,TAM_female
194,19,109740,female,TAM,CDHFD13,FK49,2,TAM_CDHFD13_female,TAM_CDHFD13,TAM_female
195,20,109741,female,TAM,CDHFD13,FK49,2,TAM_CDHFD13_female,TAM_CDHFD13,TAM_female
196,21,109742,male,TAM,CDHFD13,FK49,2,TAM_CDHFD13_male,TAM_CDHFD13,TAM_male
197,22,109743,male,TAM,CDHFD13,FK49,2,TAM_CDHFD13_male,TAM_CDHFD13,TAM_male
198,23,109744,male,TAM,CDHFD13,FK49,2,TAM_CDHFD13_male,TAM_CDHFD13,TAM_male
199,24,109745,female,EtOH,CDHFD13,FK49,2,EtOH_CDHFD13_female,EtOH_CDHFD13,EtOH_female
200,25,109746,female,EtOH,CDHFD13,FK49,2,EtOH_CDHFD13_female,EtOH_CDHFD13,EtOH_female
201,26,109747,female,EtOH,CDHFD13,FK49,2,EtOH_CDHFD13_female,EtOH_CDHFD13,EtOH_female
202,27,109748,female,EtOH,CDHFD13,FK49,2,EtOH_CDHFD13_female,EtOH_CDHFD13,EtOH_female
203,28,109749,male,TAM,CDHFD13,FK49,2,TAM_CDHFD13_male,TAM_CDHFD13,TAM_male
208,29,109750,female,EtOH,ND,BH,1,EtOH_ND_female,EtOH_ND,EtOH_female
209,30,109751,female,EtOH,ND,BH,1,EtOH_ND_female,EtOH_ND,EtOH_female
210,31,109752,female,TAM,ND,BH,1,TAM_ND_female,TAM_ND,TAM_female
211,32,109753,female,TAM,ND,BH,1,TAM_ND_female,TAM_ND,TAM_female
215,33,109754,female,EtOH,ND,BH,1,EtOH_ND_female,EtOH_ND,EtOH_female
216,34,109755,female,EtOH,ND,BH,1,EtOH_ND_female,EtOH_ND,EtOH_female
217,35,109756,female,TAM,ND,BH,1,TAM_ND_female,TAM_ND,TAM_female
218,36,109757,female,TAM,ND,BH,1,TAM_ND_female,TAM_ND,TAM_female
